Date,USD/EUR,USD/GBP,USD/JPY,USD/CHF,USD/CAD,USD/AUD,USD/SGD,USD/KRW,USD/CNY,USD/INR,USD/BRL,USD/ZAR,USD/RUB,USD/MXN,USD/IDR,USD/TRY,USD/VND,USD/LKR,USD/NGN ,USD/KES,USD/BDT
16-05-2006,0.778,0.530,109.760,1.208,1.107,1.304,1.574,929.970,7.993,44.995,2.142,6.330,26.994,11.005,9188.600,1.446,15965.000,98.296,122.640,68.578,66.690
17-05-2006,0.785,0.531,110.910,1.215,1.115,1.317,1.580,925.290,7.991,44.625,2.183,6.434,26.950,11.171,8978.900,1.477,15507.000,102.750,124.570,69.803,67.709
18-05-2006,0.778,0.528,110.900,1.205,1.120,1.309,1.578,933.810,8.000,45.400,2.202,6.448,27.021,11.151,9124.900,1.498,15204.000,102.750,122.240,68.687,66.416
19-05-2006,0.783,0.532,111.660,1.218,1.117,1.321,1.583,933.020,8.010,45.295,2.197,6.481,27.053,11.138,9189.200,1.478,15302.000,102.760,123.010,69.189,65.529
22-05-2006,0.778,0.530,111.460,1.205,1.117,1.327,1.585,939.400,8.016,45.290,2.297,6.526,27.060,11.244,9242.700,1.535,15310.000,102.750,123.080,68.814,66.363
23-05-2006,0.782,0.533,112.140,1.212,1.125,1.332,1.585,938.070,8.010,45.380,2.250,6.625,26.980,11.362,9304.700,1.491,15378.000,102.750,123.620,69.655,67.103
24-05-2006,0.783,0.534,112.740,1.216,1.120,1.328,1.588,938.950,8.010,45.680,2.358,6.554,27.000,11.200,9343.300,1.549,15441.000,102.750,124.150,69.591,67.527
25-05-2006,0.781,0.533,111.760,1.216,1.108,1.314,1.579,936.170,8.010,45.769,2.358,6.491,27.040,11.114,9323.400,1.549,15400.000,99.243,127.500,69.268,67.208
26-05-2006,0.785,0.538,112.650,1.225,1.107,1.319,1.580,938.020,8.015,45.755,2.256,6.495,27.048,11.095,9303.200,1.525,15391.000,102.760,123.710,69.554,65.991
29-05-2006,0.784,0.538,112.560,1.224,1.105,1.318,1.580,934.910,8.013,45.990,2.239,6.508,27.050,11.162,9293.400,1.526,15320.000,102.850,123.150,69.265,67.453
